ingestdate,qtyavail
20141209,12228828
20141209,12228828
20140616,8830000
20140616,8922277
20140616,8922277
20140620,8090000
20140620,8186364
20140620,8186364
20140624,7830000
20140624,7921443
20140624,7921443
20141101,12860000
20141101,12874770
20141101,12874770
20141107,12650000
20141107,12669105
20141107,12669105
20141113,13850000
20141113,13887651
20141113,13887651
20140609,9270000
20140609,9374861
20140609,9374841
20140614,8830000
20140614,8922287
20140614,8922287
20140617,7540000
20140617,7628963
20140617,7629963
20140728,7790000
20140728,7942553
20140728,7942653
20140731,7520000
20140731,7667202
20140731,7667202
20140801,7520000
20140801,7666097
20140801,7666147
20140802,5960000
20140802,6103482
20140802,6103482
20130817,15718000
20130817,15735960
20130817,15735960
20130912,8268000
20130912,8271909
20130912,8281929
20130916,8248000
20130916,8262327
20130916,8262327
20140526,11670000
20140526,11798440
20140526,11798440
20140608,9270000
20140608,9374971
20140608,9374971
20140611,8890000
20140611,8994966
20140611,8994966
20140602,10190000
20140602,10306919
20140602,10306919
20140605,9320000
20140605,9429668
20140605,9429668
20140606,9260000
20140606,9368858
20140606,9368858
20140518,8050000
20140518,8058930
20140518,8058930
20140525,11670000
20140525,11798440
20140525,11798440
20140601,10190000
20140601,10306966
20140601,10306966
20140521,11710000
20140521,11846189
20140521,11846189
20140527,10560000
20140527,10688059
20140527,10688059
20140529,10190000
20140529,10310316
20140529,10310316
20140510,6500000
20140510,6515158
20140510,6515158
20140520,11840000
20140520,11977124
20140520,11977124
20140522,11690000
20140522,11823189
20140522,11823189
20141103,12860000
20141103,12874620
20141103,12874620
20141106,13310000
20141106,13330175
20141106,13330175
20141108,12620000
20141108,12630755
20141108,12630755
20140803,5960000
20140803,6102482
20140803,6102482
20140807,6420000
20140807,6534053
20140807,6534053
20140528,10190000
20140528,10312409
20140528,10312409
20140530,10190000
20140530,10307486
20140530,10307486
20140603,9370000
20140603,9486399
20140603,9486399
20140423,8500000
20140423,8517765
20140423,8517765
20140427,8470000
20140427,8487311
20140427,8487311
20140429,6700000
20140429,6715901
20140429,6715901
20140430,6590000
20140430,6604252
20140430,6604252
20140503,6210000
20140503,6224660
20140503,6224660
20140505,6210000
20140505,6224610
20140505,6224610
20140927,3220000
20140927,3288708
20140927,3288708
20141002,3180000
20141002,3239748
20141002,3239748
20130810,15878000
20130810,15887810
20130810,15887810
20130810,15878000
20130810,15887810
20130810,15887810
20130815,15778000
20130815,15786210
20130815,15786210
20141120,13440000
20141120,13479432
20141120,13479432
20141124,12390000
20141124,12427593
20141124,12427593
20141126,12190000
20141126,12222876
20141126,12222876
20141127,12190000
20141127,12221316
20141127,12221316
20140406,3090000
20140406,3107978
20140406,3107978
20140413,4550000
20140413,4570010
20140413,4570010
20140414,4530000
20140414,4549890
20140414,4549890
20140405,3090000
20140405,3107978
20140405,3107978
20140408,3200000
20140408,3216153
20140408,3216153
20140417,3340000
20140417,3357912
20140417,3357912
20131116,2938000
20131116,2949602
20131116,2949602
20131125,2488000
20131125,2518969
20131125,2518969
20131203,568000
20131203,591379
20131203,591379
20131212,15494
20131212,15494
20131216,6968000
20131216,7043998
20131216,7043998
20131217,6938000
20131217,6972683
20131217,6972683
20140403,3180000
20140403,3195921
20140403,3195921
20140407,3090000
20140407,3107478
20140407,3107478
20140411,4560000
20140411,4581240
20140411,4581240
20140329,4570000
20140329,4585214
20140329,4585214
20140404,3160000
20140404,3175193
20140404,3175193
20140412,4550000
20140412,4570260
20140412,4570260
20150125,14040000
20150125,14060899
20150125,14060909
20150130,14070000
20150130,14095379
20150130,14095379
20141129,11580000
20141129,11608816
20141129,11608816
20141201,11570000
20141201,11598816
20141201,11598816
20141202,13210000
20141202,13238021
20141202,13238021
20140419,9480000
20140419,9493792
20140419,9493792
20140424,8470000
20140424,8487563
20140424,8487563
20150120,16760000
20150120,16785101
20150120,16785101
20150122,16340000
20150122,16364382
20150122,16364382
20150110,18040000
20150110,18059591
20150110,18059591
20150113,17670000
20150113,17685121
20150113,17685121
20140330,4560000
20140330,4575164
20140330,4575164
20140331,4560000
20140331,4574009
20140331,4574009
20140401,3230000
20140401,3241826
20140401,3241826
20150116,16780000
20150116,16806491
20150116,16806491
20150119,16780000
20150119,16805841
20150119,16805841
20140817,4190000
20140817,4290755
20140817,4290755
20140819,4390000
20140819,4490254
20140819,4490254
20141211,12190000
20141211,12217880
20141211,12217880
20141229,18140000
20141229,18160403
20141229,18160403
20141231,18070000
20141231,18088563
20141231,18088563
20150123,14070000
20150123,14091607
20150123,14091617
20150203,14790000
20150203,14811346
20150203,14811346
20150212,13170000
20150212,13190831
20150212,13190831
20140304,4240000
20140304,4288650
20140304,4288650
20140311,4150000
20140311,4180794
20140311,4180794
20140320,3110000
20140320,3124721
20140320,3124721
20140323,3040000
20140323,3054048
20140323,3054048
20140326,3590000
20140326,3604331
20140326,3604331
20140328,3510000
20140328,3517341
20140328,3517341
20150103,17520000
20150103,17556113
20150103,17556113
20150105,17510000
20150105,17545541
20150105,17556051
20150111,18040000
20150111,18059591
20150111,18059541
20140914,2750000
20140914,2831775
20140914,2831775
20140922,3720000
20140922,3784238
20140922,3784238
20140923,3640000
20140923,3703264
20140923,3703264
20140925,3220000
20140925,3290098
20140925,3290098
20141227,18140000
20141227,18160453
20141227,18160453
20141228,18140000
20141228,18160403
20141228,18160403
20150102,17540000
20150102,17557563
20150102,17557563
20140309,3830000
20140309,3867406
20140309,3867406
20140319,3110000
20140319,3126001
20140319,3126001
20140322,3040000
20140322,3054048
20140322,3054048
20140625,6470000
20140625,6559219
20140625,6559219
20140709,9310000
20140709,9409431
20140709,9409431
20141218,22030000
20141218,22047335
20141218,22047335
20141222,18540000
20141222,18562672
20141222,18562672
20141225,19320000
20141225,19340463
20141225,19340463
20141210,12190000
20141210,12218496
20141210,12218496
20141217,22130000
20141217,22160225
20141217,22160225
20141224,19320000
20141224,19347933
20141224,19347933
20140307,3880000
20140307,3919056
20140307,3919056
20140321,3070000
20140321,3089174
20140321,3089174
20140324,3040000
20140324,3053918
20140324,3053918
20141213,11130000
20141213,11173435
20141213,11173435
20141216,21910000
20141216,21942578
20141216,21942578
20141220,18540000
20141220,18563692
20141220,18563692
20140308,3830000
20140308,3867406
20140308,3867406
20140312,4040000
20140312,4066208
20140312,4066208
20140313,4420000
20140313,4441694
20140313,4441698
20141214,11130000
20141214,11173435
20141214,11173435
20141215,11130000
20141215,11173410
20141215,11173414
20141219,21600000
20141219,21626914
20141219,21626914
20130813,15848000
20130813,15857710
20130813,15857710
20130816,15778000
20130816,15796210
20130816,15796210
20141203,13180000
20141203,13210472
20141203,13210472
20141205,12710000
20141205,12734912
20141205,12734912
20141206,12700000
20141206,12722687
20141206,12722687
20141207,12700000
20141207,12722687
20141207,12722687
20150101,18060000
20150101,18077613
20150101,18077613
20150107,18980000
20150107,19009006
